timestamp,home311_hall2851_sensor20141c20143_electric-mains_electric-combined,home311_bathroom2854_sensor20133_gas-pulse_gas
2018-03-27 01:00:00,79.0,0.0
2018-03-27 02:00:00,74.0,0.0
2018-03-27 04:00:00,46.0,0.0
2018-03-27 05:00:00,67.0,0.0
2018-03-27 06:00:00,57.0,112.0
2018-03-27 07:00:00,66.0,112.0
2018-03-27 08:00:00,45.0,0.0
2018-03-27 09:00:00,572.0,10521.0
2018-03-27 10:00:00,209.0,6495.0
2018-03-27 11:00:00,186.0,5152.0
2018-03-27 12:00:00,199.0,4811.0
2018-03-27 13:00:00,175.0,3694.0
2018-03-27 14:00:00,549.0,3806.0
2018-03-27 15:00:00,194.0,6495.0
2018-03-27 16:00:00,178.0,4477.0
2018-03-27 17:00:00,184.0,3920.0
2018-03-27 18:00:00,174.0,3692.0
2018-03-27 19:00:00,231.0,4031.0
2018-03-27 20:00:00,228.0,3807.0
2018-03-27 21:00:00,124.0,3693.0
2018-03-27 22:00:00,109.0,4029.0
2018-03-27 23:00:00,54.0,0.0
2018-03-28 00:00:00,70.0,0.0
2018-03-28 01:00:00,54.0,0.0
2018-03-28 02:00:00,75.0,0.0
2018-03-28 03:00:00,73.0,0.0
2018-03-28 04:00:00,55.0,112.0
2018-03-28 05:00:00,70.0,0.0
2018-03-28 06:00:00,45.0,112.0
2018-03-28 07:00:00,61.0,0.0
2018-03-28 08:00:00,810.0,7947.0
2018-03-28 09:00:00,98.0,8396.0
2018-03-28 10:00:00,106.0,5487.0
2018-03-28 11:00:00,71.0,6381.0
2018-03-28 12:00:00,105.0,6940.0
2018-03-28 13:00:00,61.0,4701.0
2018-03-28 14:00:00,276.0,4030.0
2018-03-28 15:00:00,39.0,224.0
2018-03-28 16:00:00,90.0,4590.0
2018-03-28 17:00:00,519.0,112.0
2018-03-28 18:00:00,551.0,3136.0
2018-03-28 19:00:00,147.0,2352.0
2018-03-28 20:00:00,152.0,5935.0
2018-03-28 21:00:00,131.0,2240.0
2018-03-28 22:00:00,96.0,3471.0
2018-03-28 23:00:00,73.0,0.0
2018-03-29 00:00:00,70.0,0.0
2018-03-29 01:00:00,60.0,0.0
2018-03-29 03:00:00,39.0,0.0
2018-03-29 04:00:00,60.0,112.0
2018-03-29 05:00:00,67.0,0.0
2018-03-29 06:00:00,52.0,3024.0
2018-03-29 07:00:00,73.0,112.0
2018-03-29 08:00:00,416.0,8621.0
2018-03-29 09:00:00,87.0,5599.0
2018-03-29 10:00:00,79.0,6720.0
2018-03-29 11:00:00,68.0,4030.0
2018-03-29 12:00:00,71.0,3918.0
2018-03-29 13:00:00,88.0,4031.0
2018-03-29 14:00:00,88.0,4028.0
2018-03-29 15:00:00,72.0,0.0
2018-03-29 16:00:00,68.0,3808.0
2018-03-29 19:00:00,172.0,5824.0
2018-03-29 20:00:00,127.0,6378.0
2018-03-29 21:00:00,131.0,4811.0
2018-03-29 22:00:00,96.0,5705.0
2018-03-29 23:00:00,140.0,2351.0
2018-03-30 00:00:00,81.0,0.0
2018-03-30 01:00:00,81.0,112.0
2018-03-30 02:00:00,43.0,0.0
2018-03-30 03:00:00,57.0,0.0
2018-03-30 04:00:00,58.0,112.0
2018-03-30 05:00:00,39.0,0.0
2018-03-30 06:00:00,67.0,112.0
2018-03-30 07:00:00,42.0,0.0
2018-03-30 08:00:00,354.0,8507.0
2018-03-30 09:00:00,157.0,7501.0
2018-03-30 10:00:00,104.0,6491.0
2018-03-30 11:00:00,103.0,5819.0
2018-03-30 12:00:00,77.0,6494.0
2018-03-30 13:00:00,78.0,5039.0
2018-03-30 14:00:00,84.0,4590.0
2018-03-30 15:00:00,63.0,4031.0
2018-03-30 16:00:00,72.0,3919.0
2018-03-30 17:00:00,66.0,3917.0
2018-03-30 18:00:00,194.0,4703.0
2018-03-30 19:00:00,778.0,3246.0
2018-03-30 20:00:00,300.0,5038.0
