timestamp,elec,gas,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
2017-12-06 06:00:00,319.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 07:00:00,348.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 08:00:00,290.0,3803.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 09:00:00,533.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 10:00:00,332.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 11:00:00,305.0,224.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 12:00:00,265.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 13:00:00,250.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 14:00:00,245.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 15:00:00,244.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 16:00:00,685.0,112.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 17:00:00,1155.0,10954.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 18:00:00,1795.0,10061.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 19:00:00,705.0,8944.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 20:00:00,435.0,8494.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 21:00:00,495.0,5702.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
2017-12-06 22:00:00,450.0,0.0,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
