timestamp,home290_other2691_sensor18644c18653_electric-mains_electric-combined,home290_other2695_sensor18665_gas-pulse_gas
2018-02-23 05:00:00,313.0,1580.0
2018-02-23 06:00:00,186.0,1264.0
2018-02-23 08:00:00,526.0,0.0
2018-02-23 09:00:00,1328.0,0.0
2018-02-23 10:00:00,1967.0,6636.0
2018-02-23 11:00:00,2219.0,6320.0
2018-02-23 12:00:00,388.0,1264.0
2018-02-23 13:00:00,1712.0,5056.0
2018-02-23 14:00:00,1123.0,5372.0
2018-02-23 15:00:00,315.0,6320.0
2018-02-23 16:00:00,613.0,5056.0
2018-02-23 17:00:00,1355.0,9480.0
2018-02-23 18:00:00,2226.0,9479.0
2018-02-23 19:00:00,1156.0,8532.0
2018-02-23 20:00:00,1188.0,9480.0
2018-02-23 21:00:00,1229.0,8532.0
2018-02-23 22:00:00,623.0,7268.0
2018-02-23 23:00:00,552.0,8216.0
2018-02-24 00:00:00,430.0,6004.0
2018-02-24 01:00:00,183.0,0.0
2018-02-24 02:00:00,219.0,0.0
2018-02-24 03:00:00,204.0,0.0
2018-02-24 04:00:00,173.0,0.0
2018-02-24 05:00:00,170.0,0.0
2018-02-24 06:00:00,275.0,9480.0
2018-02-24 07:00:00,275.0,6004.0
2018-02-24 08:00:00,285.0,8216.0
2018-02-24 09:00:00,1439.0,6004.0
2018-02-24 10:00:00,734.0,7268.0
2018-02-24 11:00:00,1031.0,6636.0
2018-02-24 12:00:00,944.0,5688.0
2018-02-24 13:00:00,1187.0,5372.0
2018-02-24 14:00:00,491.0,5688.0
2018-02-24 15:00:00,293.0,6635.0
2018-02-24 16:00:00,301.0,6951.0
2018-02-24 17:00:00,810.0,7899.0
2018-02-24 18:00:00,661.0,8848.0
2018-02-24 19:00:00,3034.0,8848.0
2018-02-24 20:00:00,1432.0,12008.0
2018-02-24 21:00:00,1142.0,7900.0
2018-02-24 22:00:00,816.0,5688.0
2018-02-24 23:00:00,503.0,6636.0
2018-02-25 00:00:00,235.0,632.0
2018-02-25 03:00:00,198.0,0.0
2018-02-25 05:00:00,130.0,0.0
2018-02-25 06:00:00,322.0,4424.0
2018-02-25 08:00:00,338.0,2528.0
2018-02-25 09:00:00,1246.0,316.0
2018-02-25 11:00:00,660.0,1264.0
2018-02-25 13:00:00,4030.0,1264.0
2018-02-25 14:00:00,1179.0,2212.0
2018-02-25 15:00:00,797.0,5372.0
2018-02-25 16:00:00,744.0,6320.0
2018-02-25 17:00:00,1688.0,6636.0
2018-02-25 18:00:00,1918.0,9164.0
2018-02-25 19:00:00,1793.0,8532.0
2018-02-25 20:00:00,627.0,6952.0
2018-02-25 21:00:00,553.0,7268.0
2018-02-25 22:00:00,778.0,6320.0
2018-02-25 23:00:00,797.0,6952.0
2018-02-26 00:00:00,754.0,0.0
2018-02-26 01:00:00,853.0,632.0
2018-02-26 02:00:00,238.0,0.0
2018-02-26 03:00:00,174.0,0.0
2018-02-26 04:00:00,191.0,0.0
2018-02-26 05:00:00,279.0,9164.0
